isotope,series,energy,bkg,bkg_error,std,std_error,std_name
K40,potassium,1460.83,0.730779922,0.076042315,51.65861686,0.508272731,GSN
Pb210,uranium,46.5,0.633550619,0.104851269,14.51002113,0.600952372,GSN
Th234,uranium,63.29,0.081676851,0.073410001,15.95096503,0.507926267,GSN
Th234,uranium,92.8,0.260345275,0.150634611,44.36550146,0.845623331,GSN
U235,uranium,185.8,0.363443475,0.11109938,18.90623653,0.496771563,GSN
Pa234m,uranium,1001.03,-0.028836189,0.043127342,0.346046958,0.175970619,GSN
Th230,uranium,67.67,-0.182004175,0.07519344,1.974388309,0.461070539,GSN
Pb214,uranium,295.091,0.779301728,0.090971879,34.90951043,0.488646287,GSN
Pb214,uranium,351.87,1.376799051,0.076985685,56.78569083,0.531113255,GSN
Bi214,uranium,609.311,0.774382751,0.08695092,31.56013948,0.456673532,GSN
Bi214,uranium,1120.273,-0.099181065,0.079637454,6.415171048,0.343802276,GSN
Pb212,thorium,238.6,0.187617959,0.076377901,170.8532572,0.84242238,GSN
Ac228,thorium,339.1,0.101838357,0.066627564,29.35211228,0.412360665,GSN
Tl208,thorium,583.191,0.20408046,0.051283285,35.69121484,0.426092832,GSN
Bi212,thorium,727.1,0.04973119,0.064053035,8.775374036,0.327937645,GSN
Tl208,thorium,860.54,-0.072617114,0.065340582,4.492421788,0.285297698,GSN
Ac228,thorium,911.205,0.22750949,0.064616918,24.97250047,0.398389168,GSN
Ac228,thorium,968.971,0.010268192,0.045278165,14.10152263,0.286797347,GSN
