isotope,serie,energy,bkg,bkg_error,standard_name,standard,standard_error
K-40,potassium,1460.83,0.685311159,0.08788705,GSN,52.7844277,0.524897231
Pb-210,uranium,46.5,0.479285871,0.122699255,GSN,15.49257157,0.625364766
Th-234,uranium,63,0.000610689,0.085048033,GSN,16.12228912,0.523481548
Th-234,uranium,92.8,0.342394118,0.172292402,GSN,44.03798651,0.883853907
U-235,uranium,185.8,0.09801267,0.122411622,GSN,18.14532503,0.512291784
Pa-234m,uranium,1001.03,0.062775137,0.049292119,GSN,0.965989209,0.175931802
Th-230,uranium,67.67,-0.444685444,0.088782516,GSN,2.706880247,0.479888094
Pb-214,uranium,295.091,0.804257089,0.106214421,GSN,33.90488703,0.500720829
Pb-214,uranium,351.87,1.447696738,0.094063625,GSN,55.95230355,0.560922316
Bi-214,uranium,609.311,1.099398412,0.102151216,GSN,31.40486802,0.484833646
Bi-214,uranium,1120.273,0.193056181,0.092268336,GSN,5.757644565,0.371931915
Pb-212,thorium,238.6,0.307944743,0.089457311,GSN,169.6697814,0.875474815
Ac-228,thorium,339.1,0.001003664,0.076480768,GSN,28.95939164,0.429476074
Tl-208,thorium,583.191,0.093740311,0.060471218,GSN,36.11372029,0.436328169
Bi-212,thorium,727.1,0.030671489,0.074590395,GSN,8.313921751,0.347549335
Tl-208,thorium,860.54,-0.11272259,0.077636398,GSN,4.664885186,0.301610397
Ac-228,thorium,911.205,0.079826145,0.074612037,GSN,25.00269516,0.417614124
Ac-228,thorium,968.971,0.057416614,0.051922382,GSN,14.24283946,0.305499889
