isotope,energy,mac,proba_emission
K40,1460.83,0.0512004941384725,0.1068
Pb210,46.5,0.418555749770164,0.0425
Th234,63.29,0.2671125273065,0.037
Th234,92.8,0.181331769856987,0.0415
U235,185.8,0.126375540826802,0.0263
Pa234m,1001.03,0.0626204798971207,0.0084
Th230,67.67,0.245134104054207,0.0038
Pb214,295.091,0.108349332677245,0.1842
Pb214,351.87,0.101912146296944,0.356
Bi214,609.311,0.0809176704814161,0.4549
Bi214,1120.273,0.0589364211205925,0.1492
Pb212,238.6,0.116183422221795,0.436
Ac228,339.1,0.103273155000531,0.1127
Tl208,583.191,0.0826196573724091,0.3048
Bi212,727.1,0.0741309649981455,0.0667
Tl208,860.54,0.0678986747417314,0.0448
Ac228,911.205,0.0658616172430005,0.258
Ac228,968.971,0.0637267042063586,0.158
