energy,hydrogen,carbon,nitrogen,oxygen,fluorine,sodium,magnesium,aluminium,silicium,phosphorus,sulfur,chlorine,potassium,calcium,titanum,manganese,iron
10,0.3854,2.373,3.879,5.952,8.205,15.57,21.05,26.23,33.89,40.35,50.12,57.25,79.07,93.41,110.7,151.4,170.6
15,0.3764,0.801,1.236,1.836,2.492,4.694,6.358,7.955,10.34,12.39,15.5,17.84,25.03,29.79,35.87,50.27,57.08
20,0.3695,0.442,0.6178,0.8651,1.133,2.057,2.763,3.441,4.464,5.352,6.708,7.739,10.93,13.06,15.85,22.53,25.68
30,0.357,0.2562,0.3066,0.3779,0.4487,0.7197,0.9306,1.128,1.436,1.7,2.113,2.425,3.413,4.08,4.972,7.141,8.176
40,0.3458,0.2076,0.2288,0.2585,0.2828,0.3969,0.4881,0.5685,0.7012,0.8096,0.9872,1.117,1.541,1.83,2.214,3.169,3.629
50,0.3355,0.1871,0.198,0.2132,0.2214,0.2804,0.3292,0.3681,0.4385,0.4916,0.5849,0.6483,0.8679,1.019,1.213,1.714,1.958
60,0.326,0.1753,0.1817,0.1907,0.192,0.2268,0.257,0.2778,0.3207,0.3794,0.4053,0.4395,0.5687,0.6578,0.7661,1.06,1.205
80,0.3091,0.161,0.1639,0.1678,0.1639,0.1796,0.1951,0.2018,0.2228,0.2324,0.2585,0.2696,0.3251,0.3656,0.4052,0.5306,0.5925
100,0.2944,0.1514,0.1529,0.1551,0.1496,0.1585,0.1686,0.1704,0.1835,0.4865,0.202,0.205,0.2345,0.2571,0.2721,0.3367,0.3717
150,0.2651,0.1347,0.1353,0.1361,0.1298,0.1335,0.1394,0.1378,0.1448,0.1432,0.1506,0.148,0.1582,0.1674,0.1649,0.1838,0.1964
200,0.2429,0.1229,0.1233,0.1237,0.1176,0.1199,0.1245,0.1223,0.1275,0.125,0.1302,0.1266,0.1319,0.1376,0.1314,0.1391,0.146
300,0.2112,0.1066,0.1068,0.107,0.1015,0.1029,0.1065,0.1024,0.1082,0.1055,0.1091,0.1054,0.108,0.1116,0.1043,0.1062,0.1099
400,0.1893,0.09546,0.09557,0.09566,0.09073,0.09185,0.09492,0.09276,0.09614,0.09359,0.09665,0.09311,0.09495,0.09783,0.09081,0.09133,0.094
500,0.1729,0.08715,0.08719,0.08729,0.08274,0.08372,0.08647,0.08445,0.08748,0.08511,0.08781,0.08453,0.086,0.08851,0.08191,0.08192,0.08414
600,0.1599,0.08058,0.08063,0.0807,0.07649,0.07736,0.07988,0.07802,0.08077,0.07854,0.08102,0.07795,0.07922,0.08148,0.07529,0.07509,0.07704
800,0.1405,0.07076,0.07081,0.07087,0.06717,0.06788,0.07008,0.06841,0.07082,0.06884,0.07098,0.06826,0.06929,0.07122,0.06572,0.06537,0.06699
1000,0.1263,0.06361,0.06364,0.06375,0.06037,0.061,0.06296,0.06146,0.06361,0.06182,0.06373,0.06128,0.06216,0.06388,0.05891,0.05852,0.05995
1500,0.1027,0.05179,0.0518,0.05185,0.04915,0.04968,0.05129,0.05006,0.05183,0.05039,0.05193,0.04994,0.05068,0.05207,0.04801,0.04769,0.04883
2000,0.08769,0.04442,0.0445,0.04459,0.04228,0.04282,0.04426,0.04324,0.0448,0.04358,0.04498,0.04328,0.04399,0.04524,0.0418,0.04162,0.04265
3000,0.06921,0.03562,0.03579,0.03597,0.03422,0.03487,0.03613,0.03541,0.03678,0.0359,0.03715,0.03585,0.03666,0.0378,0.03512,0.03524,0.03621
4000,0.05806,0.03047,0.03073,0.031,0.0296,0.03037,0.03159,0.03106,0.0324,0.03172,0.03293,0.03188,0.03282,0.03395,0.03173,0.03213,0.03312
5000,0.05049,0.02708,0.02742,0.02777,0.02663,0.02753,0.02873,0.02836,0.02967,0.02915,0.03036,0.0295,0.03054,0.0317,0.02982,0.03045,0.03146
